Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
114250,116000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
116000,119980,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
119980,122250,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
122250,123000,FIXED,INTER-SATELLITE,MOBILE,,,,,
123000,130000,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,,
130000,134000,EARTH EXPLORATION-SATELLITE,FIXED,INTER-SATELLITE,MOBILE,RADIO ASTRONOMY,,,
134000,136000,AMATEUR,AMATEUR-SATELLITE,,,,,,
136000,141000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
141000,148500,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
148500,151500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
151500,155500,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
155500,158500,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
158500,164000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
164000,167000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
167000,174500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),INTER-SATELLITE,MOBILE,,,,
174500,174800,FIXED,INTER-SATELLITE,MOBILE,,,,,
174800,182000,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
182000,185000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
185000,190000,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
190000,191800,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
